model,avg_accuracy,avg_sensitivity,avg_specificity
LogisticRegression,0.7790017352012949,0.7457478632478635,0.8173244851553676
SVC,0.6616911613426654,0.5786392262708052,0.7576728418640183
NuSVC,0.5614088514675455,0.5878261358524517,0.5314334154407684
LinearSVC,0.5587962477727701,0.49863022941970314,0.6283693838840898
RandomForest_20,0.8352191031299615,0.8242217723796671,0.8480698835478248
RandomForest_30,0.8445618228541926,0.8286662168241116,0.8635253431209313
RandomForest_40,0.8374855885127345,0.8373256860098967,0.8385638462844346
RandomForest_50,0.8421653914683995,0.8417116509221773,0.8433257510463393
RandomForest_60,0.8468442724770678,0.8461560953666217,0.848227711830653
KNN_2,0.6033241041586603,0.4037584345479082,0.8335194013502837
KNN_3,0.6010585892464103,0.5749752586594691,0.6321341240458888
KNN_4,0.6172476873687439,0.47879779577147996,0.7766116440748795
KNN_5,0.6240429704938143,0.6013585245164194,0.6502557695572402
KNN_6,0.600695972935518,0.47401596941070623,0.7461168733227557
