model,avg_accuracy,avg_sensitivity,avg_specificity
LogisticRegression,0.8142211294724134,0.7715710751237067,0.8640874444183267
SVC,0.7951749176070527,0.7317465137201978,0.8690671052803406
NuSVC,0.8092626559060895,0.7450213675213675,0.8843165208974032
LinearSVC,0.8540373029459604,0.8324325236167341,0.8795521880080703
RandomForest_20,0.8186856335425667,0.7536808367071526,0.8944681747990572
RandomForest_30,0.8140058305869018,0.7536808367071526,0.884289464620347
RandomForest_40,0.8069450752502844,0.7625697255960414,0.8588544829353654
RandomForest_50,0.8187508491617076,0.7714001349527665,0.8739529261588085
RandomForest_60,0.8093762009572721,0.7626821862348178,0.8639227602462897
KNN_2,0.7978185763585617,0.6789304993252362,0.9346689666542608
KNN_3,0.7836501434355433,0.7625652271704904,0.8089444052679347
KNN_4,0.774224836669811,0.6834289248762934,0.8800585443967797
KNN_5,0.7763093103060088,0.7624044084570399,0.7938544502882738
KNN_6,0.7766372322957062,0.6926540710751237,0.8741176103308456
