model,avg_accuracy,avg_sensitivity,avg_specificity
LogisticRegression,0.8374860252244698,0.7972233468286101,0.8841586926145749
SVC,0.773977609304095,0.7188618983355827,0.8382861623670447
NuSVC,0.809229368767153,0.7100314889788576,0.9243502004531416
LinearSVC,0.8163224892957102,0.8016677912730543,0.8342924028585794
RandomForest_20,0.8067325422057632,0.7539642375168691,0.8686559763765646
RandomForest_30,0.8020536611970949,0.7494658119658121,0.8636940877749701
RandomForest_40,0.8019546732037561,0.7671266306792622,0.8432589673398496
RandomForest_50,0.8068146440120029,0.7715125955915431,0.8481609281241633
RandomForest_60,0.8067161412539255,0.7714541160593792,0.8480123838579722
KNN_2,0.7672480270334269,0.6176158344579397,0.9395886996989938
KNN_3,0.7628158881552132,0.7325326135852451,0.7990518672503967
KNN_4,0.7697589254173994,0.6265047233468286,0.9348952109981522
KNN_5,0.741386394779645,0.6745928924876293,0.8185010863319686
KNN_6,0.7506616182790063,0.6218297345928925,0.8988350905630318
