model,avg_accuracy,avg_sensitivity,avg_specificity
LogisticRegression,0.5868221263397345,0.5838742690058479,0.5907397545265193
SVC,0.5352189090358569,0.8634053081421502,0.16099227569815805
NuSVC,0.6104008237353798,0.5951282051282051,0.6269196081696081
LinearSVC,0.6010412178240498,0.5224471434997751,0.6921746962188138
RandomForest_20,0.7036715811293949,0.6389979757085019,0.7781602384543561
RandomForest_30,0.7038029343146731,0.6478868645973909,0.7679155403420109
RandomForest_40,0.6990419514997651,0.6436133603238866,0.7627047788812495
RandomForest_50,0.7014229038807175,0.6479993252361673,0.7627047788812495
RandomForest_60,0.7036556168892926,0.6522728295096716,0.7621899342487578
KNN_2,0.6245533409418224,0.41247638326585695,0.868891504737093
KNN_3,0.621824814543083,0.5703115159694108,0.6813148248810013
KNN_4,0.6078032138101838,0.424961763382816,0.8174621130503484
KNN_5,0.6007110152286234,0.5256477732793522,0.6857104292766056
KNN_6,0.5915151276945113,0.3945332883490778,0.817910969749205
