model,avg_accuracy,avg_sensitivity,avg_specificity
LogisticRegression,0.8332016890068982,0.8196063877642826,0.8501858027593322
SVC,0.826009095249741,0.7848459289248764,0.8740399102531455
NuSVC,0.8283239100645557,0.7848459289248764,0.8790904153036506
LinearSVC,0.8427902289145871,0.8590407107512371,0.824628537312361
RandomForest_20,0.8567151707834028,0.8463270355375618,0.8691355213414037
RandomForest_30,0.8613279142259334,0.8552159244264507,0.868829148792384
RandomForest_40,0.8685209446948258,0.8684322986954567,0.8695997221732515
RandomForest_50,0.8731505743244554,0.8683738191632928,0.8789572151704504
RandomForest_60,0.8755315267054078,0.8772627080521819,0.874343854674737
KNN_2,0.8593579075879149,0.7633018443544758,0.9698208858135328
KNN_3,0.8220380754404966,0.8113956365272155,0.8350274317186083
KNN_4,0.8334155807101515,0.7627946468735942,0.9148441631897515
KNN_5,0.8074230805063527,0.7935053981106613,0.8239980199539024
KNN_6,0.8285232447099652,0.762853126405758,0.9045853248059131
